검색지역,검색키워드,제목,회사정보,근무조건,이미지URL,채용공고링크,수집일시
동대문구,강아지,주2회 월 금 4시간 가사도우미-동대문구,"이웃알바
·
장안동
·
4시간 전","건당 5만원
·
월, 금
·
14:00~18:00",이미지 없음,https://www.daangn.com/kr/jobs/%EC%A3%BC2%ED%9A%8C-%EC%9B%94-%EA%B8%88-4%EC%8B%9C%EA%B0%84-%EA%B0%80%EC%82%AC%EB%8F%84%EC%9A%B0%EB%AF%B8-%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC-1osyy1mfqvgo/?in=%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC-87,2025-02-17 15:32:16
동대문구,강아지,여성의류 쇼핑몰 배송포장 알바(중장기),"(주)더제이코퍼레이션
·
신설동
·
3일 전","시급 1만 1,000원
·
월~금
·
10:00~18:00",https://img.kr.gcp-karroter.net/jobs/article/14780057/1732778354751/job-post-2800173931.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EC%97%AC%EC%84%B1%EC%9D%98%EB%A5%98-%EC%87%BC%ED%95%91%EB%AA%B0-%EB%B0%B0%EC%86%A1%ED%8F%AC%EC%9E%A5-%EC%95%8C%EB%B0%94-%EC%A4%91%EC%9E%A5%EA%B8%B0-7jc88hjfyngt/?in=%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC-87,2025-02-17 15:32:16
동작구,강아지,강아지 안무서워 하시는 분 계실까요..ㅜ,"이웃알바
·
흑석동
·
22시간 전","시급 1만 1,000원
·
총 24일 / 2월 23일~3월 18일
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/34321054/1739696460876/336136990.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EA%B0%95%EC%95%84%EC%A7%80-%EC%95%88%EB%AC%B4%EC%84%9C%EC%9B%8C-%ED%95%98%EC%8B%9C%EB%8A%94-%EB%B6%84-%EA%B3%84%EC%8B%A4%EA%B9%8C%EC%9A%94-xd9gtzxweopp/?in=%EB%8F%99%EC%9E%91%EA%B5%AC-324,2025-02-17 15:32:27
동작구,강아지,(2월) 4세 쌍둥이 남매 베이비시터 구합니다.,"이웃알바
·
신대방동
·
1개월 전","시급 2만원
·
수~금
·
16:30~19:30",https://dnvefa72aowie.cloudfront.net/jobs/article/20384640/1714972183442/job-post-2987371366.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/2%EC%9B%94-4%EC%84%B8-%EC%8C%8D%EB%91%A5%EC%9D%B4-%EB%82%A8%EB%A7%A4-%EB%B2%A0%EC%9D%B4%EB%B9%84%EC%8B%9C%ED%84%B0-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-8dk9g3ggifvr/?in=%EB%8F%99%EC%9E%91%EA%B5%AC-324,2025-02-17 15:32:27
동작구,고양이,7세 여아 등원 도움 주실 분 모십니다 :),"이웃알바
·
노량진동
·
5시간 전","건당 1만 3,000원
·
월~금
·
08:00~09:00",이미지 없음,https://www.daangn.com/kr/jobs/7%EC%84%B8-%EC%97%AC%EC%95%84-%EB%93%B1%EC%9B%90-%EB%8F%84%EC%9B%80-%EC%A3%BC%EC%8B%A4-%EB%B6%84-%EB%AA%A8%EC%8B%AD%EB%8B%88%EB%8B%A4-hd7aqrhxcjnc/?in=%EB%8F%99%EC%9E%91%EA%B5%AC-324,2025-02-17 15:32:27
마포구,강아지,말티즈 산책시켜주실 분,"이웃알바
·
서교동
·
23일 전","건당 2만원
·
월~금
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/37012609/1736672636465/job-post-355321238.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EB%A7%90%ED%8B%B0%EC%A6%88-%EC%82%B0%EC%B1%85%EC%8B%9C%EC%BC%9C%EC%A3%BC%EC%8B%A4-%EB%B6%84-9abu7zm8pjwo/?in=%EB%A7%88%ED%8F%AC%EA%B5%AC-221,2025-02-17 15:32:28
마포구,고양이,고양이 케이지에 넣는거 도와주실 분,"이웃알바
·
연남동
·
3분 전","건당 1만원
·
내일
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%EA%B3%A0%EC%96%91%EC%9D%B4-%EC%BC%80%EC%9D%B4%EC%A7%80%EC%97%90-%EB%84%A3%EB%8A%94%EA%B1%B0-%EB%8F%84%EC%99%80%EC%A3%BC%EC%8B%A4-%EB%B6%84-1ecj799ar4y3/?in=%EB%A7%88%ED%8F%AC%EA%B5%AC-221,2025-02-17 15:32:28
서대문구,강아지,9평 투룸 청소,"이웃알바
·
홍은동
·
17일 전","건당 2만 5,000원
·
월~금
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/51730874/1738217801830/job-post-833502765.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/9%ED%8F%89-%ED%88%AC%EB%A3%B8-%EC%B2%AD%EC%86%8C-tupbc557y9au/?in=%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC-206,2025-02-17 15:32:29
성동구,강아지,주1회 50평대 청소(2시간),"이웃알바
·
하왕십리동
·
3시간 전","건당 5만원
·
월~금
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/15853015/1738506714924/job-post-895801729.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EC%A3%BC1%ED%9A%8C-50%ED%8F%89%EB%8C%80-%EC%B2%AD%EC%86%8C-2%EC%8B%9C%EA%B0%84-njt76t1g5jsa/?in=%EC%84%B1%EB%8F%99%EA%B5%AC-53,2025-02-17 15:33:01
성동구,강아지,12개월 여아 베이비시터 구해요(3회/주),"이웃알바
·
금호동1가
·
11일 전","시급 1만 7,000원
·
월, 화, 금
·
12:00~17:00",이미지 없음,https://www.daangn.com/kr/jobs/12%EA%B0%9C%EC%9B%94-%EC%97%AC%EC%95%84-%EB%B2%A0%EC%9D%B4%EB%B9%84%EC%8B%9C%ED%84%B0-%EA%B5%AC%ED%95%B4%EC%9A%94-3%ED%9A%8C-%EC%A3%BC-ecwjodx1uso3/?in=%EC%84%B1%EB%8F%99%EA%B5%AC-53,2025-02-17 15:33:01
성동구,강아지,시바견 두마리 산책알바 구합니다.,"이웃알바
·
성수동1가
·
28일 전","건당 1만 5,000원
·
월~일
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%EC%8B%9C%EB%B0%94%EA%B2%AC-%EB%91%90%EB%A7%88%EB%A6%AC-%EC%82%B0%EC%B1%85%EC%95%8C%EB%B0%94-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-kqr2ikkw7qb7/?in=%EC%84%B1%EB%8F%99%EA%B5%AC-53,2025-02-17 15:33:01
